"title","rating","poster","totalRatings","releaseDate","geners"
"The Silence of the Lambs (1991)","8.6","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","1,216,410","14 February 1991 (USA)","[""Crime"",""Drama"",""Thriller"",""14 February 1991 (USA)\n""]"
"Gone Girl (2014)","8.1","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","","3 October 2014 (USA)","[""Drama"",""Mystery"",""Thriller"",""3 October 2014 (USA)\n""]"
